Commodity,Date,Unit,Minimum,Maximum,Average
Garlic Dry Chinese,10/17/2023,KG,Rs 240.00,Rs 250.00,Rs 245.00
Garlic Dry Nepali,10/17/2023,KG,Rs 250.00,Rs 260.00,Rs 256.67
Clive Dry,10/17/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),10/17/2023,KG,Rs 370.00,Rs 380.00,Rs 375.00
Fish Fresh(Bachuwa),10/17/2023,KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Chhadi),10/17/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),10/17/2023,KG,Rs 250.00,Rs 270.00,Rs 260.00
Tree Tomato,10/17/2023,Kg,Rs 120.00,Rs 150.00,Rs 135.00
Tomato Big(Indian),10/16/2023,KG,Rs 30.00,Rs 40.00,Rs 34.00
Tomato Small(Local),10/16/2023,KG,Rs 25.00,Rs 32.00,Rs 28.00
Tomato Small(Tunnel),10/16/2023,KG,Rs 30.00,Rs 42.00,Rs 37.40
Tomato Small(Indian),10/16/2023,KG,Rs 25.00,Rs 30.00,Rs 27.50
Potato Red,10/16/2023,KG,Rs 60.00,Rs 65.00,Rs 62.50
Potato Red(Indian),10/16/2023,KG,Rs 34.00,Rs 35.00,Rs 34.50
Potato Red(Mude),10/16/2023,KG,Rs 42.00,Rs 46.00,Rs 44.00
Potato White,10/16/2023,KG,Rs 40.00,Rs 45.00,Rs 42.50
Onion Dry (Indian),10/16/2023,KG,Rs 74.00,Rs 77.00,Rs 75.25
Carrot(Local),10/16/2023,KG,Rs 110.00,Rs 120.00,Rs 115.00
Carrot(Terai),10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Cabbage(Local),10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,10/16/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Raddish Red,10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish White(Local),10/16/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),10/16/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,10/16/2023,KG,Rs 35.00,Rs 45.00,Rs 40.00
Brinjal Round,10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),10/16/2023,KG,Rs 110.00,Rs 120.00,Rs 115.00
Cowpea(Short),10/16/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Green Peas,10/16/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
French Bean(Local),10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Rajma),10/16/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Sword Bean,10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Soyabean Green,10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Bitter Gourd,10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bottle Gourd,10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pointed Gourd(Local),10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,10/16/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,10/16/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pumpkin,10/16/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Turnip,10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 76.00
Sweet Potato,10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Barela,10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,10/16/2023,KG,Rs 15.00,Rs 20.00,Rs 17.50
Brd Leaf Mustard,10/16/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mustard Leaf,10/16/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Onion Green,10/16/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mushroom(Kanya),10/16/2023,KG,Rs 150.00,Rs 180.00,Rs 165.00
Mushroom(Button),10/16/2023,KG,Rs 400.00,Rs 450.00,Rs 425.00
Asparagus,10/16/2023,KG,Rs 500.00,Rs 550.00,Rs 525.00
Neuro,10/16/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brocauli,10/16/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Sugarbeet,10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Drumstick,10/16/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Red Cabbbage,10/16/2023,KG,Rs 180.00,Rs 220.00,Rs 200.00
Lettuce,10/16/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Celery,10/16/2023,KG,Rs 350.00,Rs 400.00,Rs 375.00
Mint,10/16/2023,KG,Rs 500.00,Rs 600.00,Rs 550.00
Turnip A,10/16/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,10/16/2023,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,10/16/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,10/16/2023,KG,Rs 120.00,Rs 130.00,Rs 125.00
Gundruk,10/16/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),10/16/2023,KG,Rs 280.00,Rs 300.00,Rs 290.00
Apple(Fuji),10/16/2023,KG,Rs 350.00,Rs 380.00,Rs 365.00
Banana,10/16/2023,Per Dozen,Rs 140.00,Rs 150.00,Rs 146.67
Lime,10/16/2023,KG,Rs 120.00,Rs 150.00,Rs 135.00
Pomegranate,10/16/2023,KG,Rs 400.00,Rs 450.00,Rs 425.00
Grapes(Black),10/16/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Orange(Indian),10/16/2023,KG,Rs 140.00,Rs 150.00,Rs 145.00
Water Melon(Green),10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,10/16/2023,KG,Rs 120.00,Rs 150.00,Rs 140.00
Mandarin,10/16/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,10/16/2023,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),10/16/2023,KG,Rs 80.00,Rs 90.00,Rs 84.00
Cucumber(Hybrid),10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lemon,10/16/2023,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Chinese),10/16/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Papaya(Indian),10/16/2023,KG,Rs 110.00,Rs 120.00,Rs 116.67
Guava,10/16/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mombin,10/16/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,10/16/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Sarifa,10/16/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Avocado,10/16/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Amla,10/16/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Ginger,10/16/2023,KG,Rs 130.00,Rs 150.00,Rs 137.50
Chilli Dry,10/16/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Chilli Green,10/16/2023,KG,Rs 130.00,Rs 140.00,Rs 135.00
Chilli Green(Bullet),10/16/2023,KG,Rs 140.00,Rs 150.00,Rs 146.67
Chilli Green(Machhe),10/16/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Akbare),10/16/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Capsicum,10/16/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Garlic Green,10/16/2023,KG,Rs 280.00,Rs 300.00,Rs 290.00
Coriander Green,10/16/2023,KG,Rs 120.00,Rs 150.00,Rs 135.00
Garlic Dry Chinese,10/16/2023,KG,Rs 240.00,Rs 250.00,Rs 245.00
Garlic Dry Nepali,10/16/2023,KG,Rs 250.00,Rs 260.00,Rs 256.67
Clive Dry,10/16/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Fish Fresh(Rahu),10/16/2023,KG,Rs 370.00,Rs 380.00,Rs 375.00
Fish Fresh(Bachuwa),10/16/2023,KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Chhadi),10/16/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),10/16/2023,KG,Rs 250.00,Rs 270.00,Rs 260.00
Tree Tomato,10/16/2023,Kg,Rs 120.00,Rs 150.00,Rs 135.00
Tomato Big(Indian),10/15/2023,KG,Rs 35.00,Rs 40.00,Rs 37.67
Tomato Small(Local),10/15/2023,KG,Rs 30.00,Rs 35.00,Rs 32.67
Tomato Small(Tunnel),10/15/2023,KG,Rs 32.00,Rs 42.00,Rs 36.00
Tomato Small(Indian),10/15/2023,KG,Rs 30.00,Rs 35.00,Rs 32.67
Potato Red,10/15/2023,KG,Rs 60.00,Rs 65.00,Rs 62.33
Potato Red(Indian),10/15/2023,KG,Rs 34.00,Rs 35.00,Rs 34.50
Potato Red(Mude),10/15/2023,KG,Rs 42.00,Rs 46.00,Rs 43.75
Potato White,10/15/2023,KG,Rs 42.00,Rs 45.00,Rs 43.50
Onion Dry (Indian),10/15/2023,KG,Rs 74.00,Rs 77.00,Rs 75.50
Carrot(Local),10/15/2023,KG,Rs 110.00,Rs 130.00,Rs 120.00
Carrot(Terai),10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 74.25
Cabbage(Local),10/15/2023,KG,Rs 50.00,Rs 60.00,Rs 55.75
Cauli Local,10/15/2023,KG,Rs 100.00,Rs 120.00,Rs 109.00
Raddish Red,10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),10/15/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),10/15/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,10/15/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,10/15/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),10/15/2023,KG,Rs 120.00,Rs 130.00,Rs 124.00
Cowpea(Short),10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Green Peas,10/15/2023,KG,Rs 250.00,Rs 300.00,Rs 276.67
French Bean(Local),10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 63.75
French Bean(Hybrid),10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Rajma),10/15/2023,KG,Rs 250.00,Rs 280.00,Rs 265.00
Sword Bean,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Soyabean Green,10/15/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bitter Gourd,10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 63.75
Bottle Gourd,10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Local),10/15/2023,KG,Rs 50.00,Rs 60.00,Rs 55.75
Snake Gourd,10/15/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,10/15/2023,KG,Rs 100.00,Rs 120.00,Rs 110.00
Pumpkin,10/15/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.75
Turnip,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Okara,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.75
Sweet Potato,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Barela,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.75
Arum,10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,10/15/2023,KG,Rs 20.00,Rs 25.00,Rs 22.33
Brd Leaf Mustard,10/15/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mustard Leaf,10/15/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Onion Green,10/15/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Kanya),10/15/2023,KG,Rs 150.00,Rs 180.00,Rs 165.00
Mushroom(Button),10/15/2023,KG,Rs 350.00,Rs 400.00,Rs 375.00
Asparagus,10/15/2023,KG,Rs 500.00,Rs 600.00,Rs 550.00
Neuro,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,10/15/2023,KG,Rs 180.00,Rs 220.00,Rs 200.00
Sugarbeet,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Drumstick,10/15/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Red Cabbbage,10/15/2023,KG,Rs 200.00,Rs 250.00,Rs 226.67
Lettuce,10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Celery,10/15/2023,KG,Rs 300.00,Rs 350.00,Rs 325.00
Mint,10/15/2023,KG,Rs 500.00,Rs 600.00,Rs 550.00
Turnip A,10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Tamarind,10/15/2023,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bamboo Shoot,10/15/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Tofu,10/15/2023,KG,Rs 110.00,Rs 120.00,Rs 115.00
Gundruk,10/15/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),10/15/2023,KG,Rs 260.00,Rs 280.00,Rs 270.00
Apple(Fuji),10/15/2023,KG,Rs 300.00,Rs 330.00,Rs 315.00
Banana,10/15/2023,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Lime,10/15/2023,KG,Rs 160.00,Rs 200.00,Rs 180.00
Pomegranate,10/15/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Grapes(Black),10/15/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Orange(Indian),10/15/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Water Melon(Green),10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sweet Orange,10/15/2023,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mandarin,10/15/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,10/15/2023,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),10/15/2023,KG,Rs 90.00,Rs 120.00,Rs 101.25
Cucumber(Hybrid),10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Lemon,10/15/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pear(Chinese),10/15/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),10/15/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Papaya(Indian),10/15/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Guava,10/15/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mombin,10/15/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Kiwi,10/15/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Sarifa,10/15/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Avocado,10/15/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Amla,10/15/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Ginger,10/15/2023,KG,Rs 140.00,Rs 150.00,Rs 145.00
Chilli Dry,10/15/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Chilli Green,10/15/2023,KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Bullet),10/15/2023,KG,Rs 120.00,Rs 140.00,Rs 130.00
Chilli Green(Machhe),10/15/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Akbare),10/15/2023,KG,Rs 250.00,Rs 300.00,Rs 276.67
Capsicum,10/15/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Garlic Green,10/15/2023,KG,Rs 280.00,Rs 300.00,Rs 290.00
Coriander Green,10/15/2023,KG,Rs 120.00,Rs 150.00,Rs 133.33
Garlic Dry Chinese,10/15/2023,KG,Rs 220.00,Rs 240.00,Rs 230.00
Garlic Dry Nepali,10/15/2023,KG,Rs 260.00,Rs 280.00,Rs 268.75
Clive Dry,10/15/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),10/15/2023,KG,Rs 370.00,Rs 380.00,Rs 375.00
Fish Fresh(Bachuwa),10/15/2023,KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Chhadi),10/15/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),10/15/2023,KG,Rs 250.00,Rs 270.00,Rs 260.00
Tree Tomato,10/15/2023,Kg,Rs 120.00,Rs 150.00,Rs 133.33
Tomato Big(Indian),10/14/2023,KG,Rs 30.00,Rs 35.00,Rs 33.33
Tomato Small(Local),10/14/2023,KG,Rs 35.00,Rs 42.00,Rs 38.40
Tomato Small(Tunnel),10/14/2023,KG,Rs 38.00,Rs 50.00,Rs 43.00
Tomato Small(Indian),10/14/2023,KG,Rs 30.00,Rs 35.00,Rs 32.50
Potato Red,10/14/2023,KG,Rs 60.00,Rs 65.00,Rs 62.50
Potato Red(Indian),10/14/2023,KG,Rs 34.00,Rs 35.00,Rs 34.50
Potato Red(Mude),10/14/2023,KG,Rs 42.00,Rs 46.00,Rs 44.40
Potato White,10/14/2023,KG,Rs 42.00,Rs 45.00,Rs 44.00
Onion Dry (Indian),10/14/2023,KG,Rs 74.00,Rs 77.00,Rs 75.20
Carrot(Local),10/14/2023,KG,Rs 100.00,Rs 110.00,Rs 106.67
Carrot(Terai),10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cabbage(Local),10/14/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,10/14/2023,KG,Rs 90.00,Rs 100.00,Rs 95.00
Raddish Red,10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),10/14/2023,KG,Rs 25.00,Rs 30.00,Rs 27.50
Raddish White(Hybrid),10/14/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,10/14/2023,KG,Rs 30.00,Rs 40.00,Rs 36.00
Brinjal Round,10/14/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),10/14/2023,KG,Rs 120.00,Rs 130.00,Rs 125.00
Cowpea(Short),10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Green Peas,10/14/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
French Bean(Local),10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Hybrid),10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Rajma),10/14/2023,KG,Rs 250.00,Rs 280.00,Rs 265.00
Sword Bean,10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Soyabean Green,10/14/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Bitter Gourd,10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bottle Gourd,10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Pointed Gourd(Local),10/14/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Snake Gourd,10/14/2023,KG,Rs 30.00,Rs 40.00,Rs 36.67
Smooth Gourd,10/14/2023,KG,Rs 100.00,Rs 120.00,Rs 110.00
Pumpkin,10/14/2023,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Turnip,10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.00
Sweet Potato,10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
Barela,10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Arum,10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Christophine,10/14/2023,KG,Rs 18.00,Rs 23.00,Rs 20.25
Brd Leaf Mustard,10/14/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Mustard Leaf,10/14/2023,KG,Rs 40.00,Rs 50.00,Rs 46.67
Onion Green,10/14/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mushroom(Kanya),10/14/2023,KG,Rs 140.00,Rs 180.00,Rs 158.00
Mushroom(Button),10/14/2023,KG,Rs 340.00,Rs 380.00,Rs 358.00
Asparagus,10/14/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Neuro,10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Brocauli,10/14/2023,KG,Rs 180.00,Rs 220.00,Rs 200.00
Sugarbeet,10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Drumstick,10/14/2023,KG,Rs 180.00,Rs 200.00,Rs 193.33
Red Cabbbage,10/14/2023,KG,Rs 200.00,Rs 250.00,Rs 225.00
Lettuce,10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,10/14/2023,KG,Rs 300.00,Rs 350.00,Rs 325.00
Mint,10/14/2023,KG,Rs 500.00,Rs 600.00,Rs 550.00
Turnip A,10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,10/14/2023,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,10/14/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,10/14/2023,KG,Rs 110.00,Rs 120.00,Rs 116.67
Gundruk,10/14/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),10/14/2023,KG,Rs 260.00,Rs 280.00,Rs 270.00
Apple(Fuji),10/14/2023,KG,Rs 300.00,Rs 330.00,Rs 316.67
Banana,10/14/2023,Per Dozen,Rs 140.00,Rs 150.00,Rs 146.67
Lime,10/14/2023,KG,Rs 160.00,Rs 200.00,Rs 180.00
Pomegranate,10/14/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Grapes(Black),10/14/2023,KG,Rs 400.00,Rs 420.00,Rs 410.00
Orange(Indian),10/14/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Water Melon(Green),10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Sweet Orange,10/14/2023,KG,Rs 120.00,Rs 150.00,Rs 135.00
Mandarin,10/14/2023,KG,Rs 320.00,Rs 350.00,Rs 335.00
Pineapple,10/14/2023,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),10/14/2023,KG,Rs 70.00,Rs 90.00,Rs 80.00
Cucumber(Hybrid),10/14/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Lemon,10/14/2023,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pear(Chinese),10/14/2023,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),10/14/2023,KG,Rs 70.00,Rs 80.00,Rs 76.67
Papaya(Indian),10/14/2023,KG,Rs 90.00,Rs 100.00,Rs 96.67
Guava,10/14/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mombin,10/14/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Kiwi,10/14/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Sarifa,10/14/2023,KG,Rs 150.00,Rs 250.00,Rs 200.00
Avocado,10/14/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Amla,10/14/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
Ginger,10/14/2023,KG,Rs 130.00,Rs 150.00,Rs 140.00
Chilli Dry,10/14/2023,KG,Rs 450.00,Rs 500.00,Rs 475.00
Chilli Green,10/14/2023,KG,Rs 110.00,Rs 120.00,Rs 116.67
Chilli Green(Bullet),10/14/2023,KG,Rs 130.00,Rs 140.00,Rs 133.33
Chilli Green(Machhe),10/14/2023,KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Akbare),10/14/2023,KG,Rs 200.00,Rs 300.00,Rs 250.00
Capsicum,10/14/2023,KG,Rs 150.00,Rs 160.00,Rs 155.00
Garlic Green,10/14/2023,KG,Rs 280.00,Rs 300.00,Rs 290.00
Coriander Green,10/14/2023,KG,Rs 150.00,Rs 200.00,Rs 175.00
Garlic Dry Chinese,10/14/2023,KG,Rs 220.00,Rs 240.00,Rs 228.00
Garlic Dry Nepali,10/14/2023,KG,Rs 260.00,Rs 270.00,Rs 265.00
Clive Dry,10/14/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Rahu),10/14/2023,KG,Rs 370.00,Rs 380.00,Rs 375.00
Fish Fresh(Bachuwa),10/14/2023,KG,Rs 270.00,Rs 280.00,Rs 275.00
Fish Fresh(Chhadi),10/14/2023,KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),10/14/2023,KG,Rs 250.00,Rs 270.00,Rs 260.00
Tree Tomato,10/14/2023,Kg,Rs 120.00,Rs 150.00,Rs 135.00
Tomato Big(Indian),10/13/2023,KG,Rs 30.00,Rs 35.00,Rs 32.50
Tomato Small(Local),10/13/2023,KG,Rs 35.00,Rs 40.00,Rs 38.00
Tomato Small(Tunnel),10/13/2023,KG,Rs 38.00,Rs 50.00,Rs 45.60
Tomato Small(Indian),10/13/2023,KG,Rs 30.00,Rs 35.00,Rs 33.33
Potato Red,10/13/2023,KG,Rs 60.00,Rs 65.00,Rs 62.50
Potato Red(Indian),10/13/2023,KG,Rs 34.00,Rs 36.00,Rs 34.80
Potato Red(Mude),10/13/2023,KG,Rs 44.00,Rs 48.00,Rs 45.60
Potato White,10/13/2023,KG,Rs 45.00,Rs 50.00,Rs 48.33
Onion Dry (Indian),10/13/2023,KG,Rs 72.00,Rs 75.00,Rs 73.50
Carrot(Local),10/13/2023,KG,Rs 100.00,Rs 110.00,Rs 105.00
Carrot(Terai),10/13/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cabbage(Local),10/13/2023,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,10/13/2023,KG,Rs 80.00,Rs 100.00,Rs 90.00
Raddish Red,10/13/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish White(Local),10/13/2023,KG,Rs 30.00,Rs 35.00,Rs 32.50
Raddish White(Hybrid),10/13/2023,KG,Rs 35.00,Rs 45.00,Rs 38.75
Brinjal Long,10/13/2023,KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,10/13/2023,KG,Rs 50.00,Rs 60.00,Rs 56.67
Cow pea(Long),10/13/2023,KG,Rs 110.00,Rs 130.00,Rs 118.00
Cowpea(Short),10/13/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Green Peas,10/13/2023,KG,Rs 250.00,Rs 300.00,Rs 275.00
French Bean(Local),10/13/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Hybrid),10/13/2023,KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Rajma),10/13/2023,KG,Rs 180.00,Rs 200.00,Rs 190.00
Sword Bean,10/13/2023,KG,Rs 70.00,Rs 80.00,Rs 75.00
Soyabean Green,10/13/2023,KG,Rs 80.00,Rs 90.00,Rs 86.67
Bitter Gourd,10/13/2023,KG,Rs 60.00,Rs 70.00,Rs 66.00
Bottle Gourd,10/13/2023,KG,Rs 60.00,Rs 70.00,Rs 66.67
